Industry,Location,Primary_AI_Tool,Daily_Token_Usage,Tasks_Automated_Per_Week,Experience_Years,Productivity_Gain_Percent
Legal,Australia,Jasper,50.0,11.0,4.0,42.94
Retail,Germany,GitHub Copilot,8715.0,11.0,2.0,59.64
Retail,UK,Tableau,734.0,19.0,7.0,65.81
Retail,Brazil,Notion AI,1857.0,15.0,3.0,53.63
Legal,UK,Tableau,266.0,7.0,5.0,51.85
Manufacturing,US,TensorFlow,1011.0,20.0,7.0,67.25
Media,Australia,Jasper,324.0,9.0,1.0,52.11
Finance,Brazil,ChatGPT,70.0,12.0,4.0,60.52
Manufacturing,UK,TensorFlow,539.0,7.0,7.0,54.2
,Germany,,2911.0,10.0,4.0,62.82
Legal,Canada,Midjourney,918.0,8.0,5.0,50.22
Technology,Germany,GitHub Copilot,449.0,12.0,6.0,68.5
Technology,Canada,Notion AI,2132.0,16.0,0.0,67.38
Healthcare,Japan,TensorFlow,5278.0,16.0,0.0,57.05
Healthcare,US,Midjourney,2057.0,15.0,0.0,
Technology,India,Jasper,2546.0,14.0,4.0,67.73
Legal,UK,GitHub Copilot,,15.0,2.0,57.45
Media,US,ChatGPT,2967.0,13.0,0.0,51.05
Healthcare,UK,ChatGPT,2695.0,18.0,6.0,73.66
Retail,US,Salesforce Einstein,5565.0,13.0,2.0,51.44
Finance,US,GitHub Copilot,713.0,13.0,0.0,58.73
Finance,Australia,Salesforce Einstein,3340.0,6.0,0.0,49.47
Technology,Brazil,Jasper,873.0,13.0,6.0,63.16
Retail,Brazil,TensorFlow,736.0,19.0,3.0,60.7
Technology,Australia,Salesforce Einstein,13258.0,7.0,6.0,63.15
Legal,Brazil,Salesforce Einstein,1598.0,11.0,0.0,43.77
Technology,Australia,ChatGPT,771.0,,1.0,60.81
Manufacturing,Japan,TensorFlow,1369.0,10.0,6.0,51.69
Technology,Brazil,Tableau,24765.0,12.0,3.0,68.82
Legal,Brazil,Tableau,430.0,10.0,5.0,52.51
Manufacturing,Canada,ChatGPT,777.0,10.0,5.0,47.32
Media,US,Salesforce Einstein,182.0,11.0,1.0,45.01
Legal,Brazil,Midjourney,571.0,10.0,0.0,47.68
Media,Japan,Midjourney,2832.0,12.0,1.0,66.26
Healthcare,Australia,Notion AI,342.0,8.0,2.0,53.21
Legal,Canada,ChatGPT,7170.0,8.0,2.0,55.8
Retail,Japan,GitHub Copilot,2356.0,12.0,0.0,51.87
Education,UK,Jasper,1476.0,14.0,3.0,57.86
Legal,Japan,Midjourney,2561.0,10.0,4.0,58.61
Technology,Canada,Midjourney,758.0,13.0,0.0,57.42
Manufacturing,US,Salesforce Einstein,1637.0,13.0,5.0,59.86
Education,US,TensorFlow,2117.0,10.0,3.0,56.79
Media,UK,Tableau,1377.0,12.0,4.0,
Education,Australia,TensorFlow,302.0,7.0,0.0,41.53
Legal,Australia,Tableau,7580.0,10.0,0.0,47.64
Media,Germany,Notion AI,1465.0,15.0,1.0,55.88
Media,India,Notion AI,2739.0,4.0,4.0,49.09
Technology,Canada,ChatGPT,235.0,15.0,1.0,64.66
Legal,UK,Jasper,1139.0,12.0,4.0,50.86
Technology,Australia,TensorFlow,314.0,16.0,9.0,67.36
Technology,Japan,TensorFlow,755.0,,4.0,52.79
Retail,Canada,TensorFlow,1347.0,11.0,5.0,49.89
Media,US,Salesforce Einstein,686.0,12.0,7.0,57.92
Education,UK,TensorFlow,386.0,13.0,2.0,45.93
Healthcare,Australia,Jasper,371.0,10.0,0.0,41.33
Media,Australia,,50.0,13.0,1.0,48.16
Manufacturing,India,Midjourney,1667.0,17.0,4.0,64.5
Manufacturing,Canada,Tableau,2321.0,15.0,5.0,63.37
Retail,Germany,Tableau,658.0,12.0,5.0,43.82
Technology,US,Midjourney,67.0,,2.0,55.4
Healthcare,US,ChatGPT,318.0,11.0,1.0,47.77
Media,India,Salesforce Einstein,,16.0,2.0,57.78
Retail,US,Midjourney,2497.0,9.0,0.0,47.77
Legal,Japan,Midjourney,1539.0,18.0,0.0,59.54
Finance,UK,GitHub Copilot,2118.0,13.0,6.0,62.66
Technology,Canada,Salesforce Einstein,3350.0,13.0,2.0,59.52
Healthcare,India,Midjourney,765.0,11.0,7.0,67.35
Technology,Canada,GitHub Copilot,2362.0,13.0,5.0,71.78
Education,Canada,,1650.0,10.0,2.0,49.8
Legal,Japan,Midjourney,5603.0,17.0,3.0,64.59
,Japan,Tableau,1765.0,17.0,0.0,59.69
Technology,US,Salesforce Einstein,2025.0,9.0,3.0,56.45
Manufacturing,UK,TensorFlow,1658.0,14.0,6.0,
Technology,Australia,GitHub Copilot,1423.0,12.0,1.0,
Retail,Japan,Salesforce Einstein,1469.0,8.0,0.0,39.17
Media,Japan,Tableau,1138.0,12.0,0.0,54.78
Media,Australia,TensorFlow,283.0,15.0,7.0,70.87
Retail,,GitHub Copilot,1144.0,11.0,11.0,69.01
Media,,Salesforce Einstein,3507.0,19.0,5.0,69.73
Education,Germany,Jasper,1642.0,14.0,5.0,55.78
Finance,UK,ChatGPT,1022.0,17.0,5.0,60.56
Retail,Brazil,ChatGPT,1037.0,20.0,0.0,50.53
Retail,UK,Midjourney,841.0,6.0,6.0,54.11
Retail,US,Jasper,403.0,12.0,3.0,49.96
Legal,US,Jasper,487.0,15.0,0.0,50.03
Healthcare,Canada,ChatGPT,7375.0,19.0,2.0,61.76
Legal,Germany,Midjourney,301.0,8.0,4.0,47.99
Media,Japan,GitHub Copilot,6146.0,12.0,0.0,61.14
Legal,US,Notion AI,1265.0,15.0,8.0,58.78
Retail,Brazil,,1200.0,8.0,0.0,46.78
Retail,Canada,ChatGPT,3100.0,18.0,4.0,69.1
Media,Germany,TensorFlow,1640.0,15.0,4.0,66.22
Manufacturing,Japan,Midjourney,466.0,10.0,9.0,60.16
Technology,Canada,Jasper,1283.0,11.0,3.0,54.84
Finance,India,Midjourney,450.0,11.0,2.0,57.05
Retail,Germany,GitHub Copilot,330.0,14.0,2.0,48.44
Media,US,Salesforce Einstein,1912.0,10.0,5.0,62.39
Manufacturing,US,Notion AI,1631.0,12.0,,61.01
Retail,Japan,Midjourney,5312.0,11.0,5.0,63.73
Technology,Australia,Midjourney,1021.0,10.0,5.0,65.34
Retail,Canada,ChatGPT,2450.0,14.0,,55.57
Legal,UK,GitHub Copilot,150.0,9.0,3.0,
Legal,Canada,GitHub Copilot,2306.0,9.0,0.0,49.1
,Brazil,Tableau,1090.0,11.0,4.0,48.98
Education,Japan,Notion AI,3580.0,16.0,5.0,
Retail,Japan,Jasper,391.0,15.0,0.0,55.82
Education,Brazil,Tableau,1796.0,9.0,3.0,57.35
Technology,Canada,,506.0,7.0,0.0,51.52
Legal,Australia,GitHub Copilot,5339.0,14.0,0.0,59.27
Finance,Germany,TensorFlow,1107.0,14.0,1.0,62.83
Manufacturing,US,ChatGPT,1985.0,12.0,4.0,59.46
Legal,India,Midjourney,215.0,16.0,5.0,63.19
Legal,Japan,Jasper,275.0,17.0,3.0,
Education,UK,Midjourney,334.0,5.0,1.0,46.79
Manufacturing,US,ChatGPT,792.0,16.0,2.0,47.5
Education,Canada,TensorFlow,481.0,6.0,6.0,52.69
Manufacturing,India,Jasper,985.0,15.0,0.0,43.23
Technology,UK,Tableau,2510.0,6.0,6.0,63.69
Legal,US,Salesforce Einstein,3481.0,11.0,3.0,59.68
Media,Canada,Salesforce Einstein,263.0,14.0,0.0,49.2
Finance,Japan,TensorFlow,20929.0,14.0,2.0,61.88
Education,Germany,TensorFlow,331.0,13.0,4.0,
Education,UK,Midjourney,3058.0,14.0,3.0,57.36
Manufacturing,Australia,Jasper,2288.0,17.0,6.0,61.11
Technology,Germany,ChatGPT,11165.0,13.0,1.0,72.84
Media,US,Salesforce Einstein,611.0,8.0,1.0,48.94
Finance,India,Midjourney,381.0,10.0,5.0,57.91
Legal,Australia,ChatGPT,45.0,7.0,0.0,33.39
Media,UK,Jasper,1039.0,16.0,5.0,
Finance,Germany,ChatGPT,548.0,13.0,2.0,53.08
Education,India,Salesforce Einstein,1216.0,11.0,3.0,56.44
Finance,UK,Notion AI,5076.0,13.0,2.0,64.31
Healthcare,Canada,Tableau,668.0,18.0,0.0,57.53
Media,Brazil,Salesforce Einstein,1575.0,13.0,5.0,62.65
Retail,Brazil,ChatGPT,614.0,14.0,5.0,56.47
Legal,Canada,TensorFlow,402.0,18.0,4.0,62.35
Education,Japan,Notion AI,,18.0,3.0,54.98
Media,Japan,Notion AI,844.0,12.0,3.0,58.05
Manufacturing,Australia,Midjourney,1066.0,11.0,3.0,54.08
Retail,Canada,,1493.0,16.0,1.0,58.49
Retail,Brazil,Midjourney,51.0,16.0,2.0,42.16
Technology,Brazil,Notion AI,39.0,11.0,5.0,50.32
Retail,US,Midjourney,2161.0,17.0,4.0,58.66
Retail,Japan,TensorFlow,559.0,11.0,4.0,57.29
Finance,Australia,TensorFlow,162.0,7.0,0.0,42.04
Manufacturing,Australia,GitHub Copilot,1797.0,23.0,5.0,78.98
Retail,Australia,Tableau,420.0,11.0,2.0,43.18
Retail,Australia,Tableau,455.0,10.0,2.0,48.96
Healthcare,Canada,Jasper,1674.0,16.0,2.0,56.73
Legal,Brazil,Tableau,696.0,10.0,4.0,43.66
Retail,UK,ChatGPT,4889.0,19.0,4.0,68.46
Retail,,Notion AI,6427.0,14.0,2.0,56.86
Media,India,Midjourney,1227.0,6.0,4.0,55.72
Finance,Australia,Jasper,571.0,8.0,8.0,61.28
Manufacturing,Germany,TensorFlow,2187.0,4.0,2.0,45.5
Finance,Brazil,Midjourney,2397.0,13.0,2.0,72.17
Media,Japan,Jasper,4979.0,10.0,9.0,72.06
Manufacturing,Australia,Jasper,844.0,12.0,7.0,57.57
Retail,UK,Tableau,2949.0,9.0,5.0,53.09
Legal,UK,Jasper,154.0,12.0,2.0,33.79
Healthcare,US,Salesforce Einstein,4209.0,11.0,0.0,60.42
Technology,Japan,TensorFlow,17871.0,12.0,2.0,66.18
Healthcare,Canada,Jasper,966.0,15.0,3.0,66.98
Legal,Japan,Midjourney,1683.0,11.0,5.0,58.53
Education,US,Tableau,214.0,9.0,3.0,50.73
Education,Japan,ChatGPT,872.0,9.0,0.0,48.57
Technology,India,GitHub Copilot,1881.0,12.0,4.0,69.36
Legal,UK,Jasper,211.0,8.0,1.0,41.9
Education,Japan,TensorFlow,303.0,6.0,4.0,44.29
Healthcare,Canada,GitHub Copilot,555.0,9.0,4.0,54.95
Retail,India,Salesforce Einstein,87.0,15.0,3.0,50.06
Healthcare,Germany,Tableau,99.0,9.0,1.0,48.16
Education,Japan,Tableau,107.0,15.0,6.0,52.22
Manufacturing,Germany,Salesforce Einstein,2135.0,13.0,0.0,59.6
Retail,Japan,GitHub Copilot,2694.0,10.0,3.0,62.8
Technology,Australia,Salesforce Einstein,418.0,10.0,0.0,50.2
Education,Japan,Notion AI,707.0,8.0,5.0,51.22
Media,Australia,Jasper,411.0,,1.0,52.4
Finance,Brazil,Midjourney,2632.0,11.0,2.0,63.26
Manufacturing,Germany,Tableau,241.0,9.0,4.0,42.91
Legal,UK,Salesforce Einstein,156.0,11.0,1.0,41.82
Retail,Germany,Tableau,890.0,11.0,4.0,57.89
,Australia,Tableau,1026.0,7.0,0.0,40.69
Retail,Germany,,1386.0,17.0,4.0,61.48
Education,US,Midjourney,1205.0,19.0,10.0,65.83
Technology,Germany,Midjourney,2192.0,13.0,6.0,71.6
Healthcare,Brazil,Jasper,65.0,9.0,6.0,44.99
Healthcare,Brazil,TensorFlow,1074.0,14.0,3.0,57.44
Legal,Australia,Tableau,2005.0,15.0,5.0,50.04
Education,Brazil,Tableau,4462.0,11.0,2.0,59.3
Manufacturing,Canada,Tableau,690.0,12.0,4.0,43.71
Healthcare,Japan,Jasper,19232.0,10.0,7.0,70.83
Media,UK,ChatGPT,1434.0,17.0,1.0,62.62
Manufacturing,Australia,Salesforce Einstein,1881.0,15.0,5.0,60.31
Media,Australia,Jasper,783.0,9.0,2.0,59.17
Retail,US,Salesforce Einstein,574.0,19.0,0.0,48.56
Education,UK,Tableau,1358.0,9.0,2.0,59.13
Legal,UK,Salesforce Einstein,283.0,14.0,0.0,47.27
Healthcare,US,Salesforce Einstein,636.0,13.0,3.0,52.82
Healthcare,India,Notion AI,957.0,18.0,5.0,56.21
Manufacturing,UK,ChatGPT,204.0,6.0,1.0,41.19
Healthcare,Canada,ChatGPT,983.0,13.0,0.0,52.56
Technology,Japan,Midjourney,212.0,8.0,3.0,55.85
Legal,UK,Jasper,227.0,6.0,2.0,45.34
Legal,Germany,Tableau,521.0,10.0,6.0,52.36
Education,Brazil,Salesforce Einstein,318.0,14.0,0.0,45.41
Manufacturing,US,Salesforce Einstein,254.0,9.0,10.0,53.25
Healthcare,Canada,Notion AI,8495.0,12.0,0.0,62.07
Retail,US,ChatGPT,1229.0,12.0,6.0,53.22
Manufacturing,UK,Salesforce Einstein,149.0,8.0,4.0,44.51
Finance,India,Salesforce Einstein,1225.0,12.0,5.0,52.57
Legal,UK,Tableau,1087.0,9.0,,53.41
Education,US,TensorFlow,801.0,9.0,1.0,52.81
Media,Germany,GitHub Copilot,383.0,17.0,3.0,58.61
Media,Japan,TensorFlow,2196.0,12.0,2.0,66.15
Legal,India,Salesforce Einstein,1111.0,,3.0,46.46
Education,UK,ChatGPT,2425.0,8.0,2.0,56.97
Healthcare,US,Notion AI,895.0,16.0,0.0,56.42
Manufacturing,Japan,Salesforce Einstein,5973.0,17.0,4.0,65.63
Legal,Japan,GitHub Copilot,261.0,20.0,5.0,67.16
Technology,Canada,Midjourney,155.0,4.0,2.0,52.63
Education,Germany,TensorFlow,306.0,14.0,1.0,47.17
Technology,Japan,GitHub Copilot,796.0,9.0,4.0,59.9
Finance,Canada,TensorFlow,3966.0,18.0,5.0,64.47
Media,Brazil,ChatGPT,1308.0,13.0,1.0,63.64
Manufacturing,UK,Tableau,295.0,12.0,0.0,41.49
Technology,UK,Tableau,3100.0,8.0,2.0,53.45
Manufacturing,Japan,ChatGPT,7518.0,11.0,1.0,53.11
Finance,Germany,Notion AI,1228.0,8.0,1.0,47.75
Education,US,Salesforce Einstein,1173.0,10.0,1.0,51.73
Retail,India,Jasper,3260.0,20.0,2.0,62.28
Technology,Germany,Midjourney,826.0,14.0,4.0,66.44
Finance,UK,Salesforce Einstein,2852.0,12.0,3.0,66.88
Education,India,Midjourney,113.0,11.0,2.0,51.16
,Canada,TensorFlow,427.0,10.0,0.0,55.71
Legal,Australia,,3491.0,15.0,4.0,61.83
Healthcare,India,Notion AI,15630.0,4.0,4.0,57.15
Legal,India,ChatGPT,979.0,11.0,5.0,49.96
Media,UK,Notion AI,2417.0,7.0,7.0,61.11
Legal,Brazil,ChatGPT,2204.0,18.0,1.0,58.37
Healthcare,Australia,TensorFlow,221.0,11.0,0.0,49.13
Education,Brazil,Notion AI,606.0,10.0,3.0,53.57
Media,Japan,Tableau,3625.0,14.0,5.0,66.33
Education,Japan,Salesforce Einstein,209.0,16.0,4.0,55.38
Retail,Germany,Midjourney,2752.0,12.0,10.0,69.87
Education,Canada,Notion AI,124.0,14.0,0.0,53.16
Media,Brazil,GitHub Copilot,1729.0,12.0,5.0,65.11
Healthcare,Australia,TensorFlow,727.0,7.0,2.0,50.7
Education,India,GitHub Copilot,1052.0,11.0,1.0,56.03
Manufacturing,US,GitHub Copilot,1326.0,12.0,1.0,55.65
Finance,US,Jasper,2333.0,17.0,3.0,66.73
Legal,India,ChatGPT,125.0,15.0,0.0,43.9
Media,Canada,Midjourney,1752.0,4.0,3.0,
Legal,Germany,ChatGPT,1247.0,17.0,4.0,59.4
Media,US,Salesforce Einstein,1189.0,12.0,9.0,64.01
Manufacturing,Germany,Salesforce Einstein,1233.0,8.0,5.0,53.47
Legal,India,TensorFlow,978.0,18.0,4.0,55.54
Education,US,Midjourney,3374.0,9.0,1.0,52.41
Manufacturing,India,Notion AI,2255.0,10.0,5.0,51.33
Retail,UK,Tableau,5225.0,6.0,0.0,44.25
Healthcare,India,Midjourney,395.0,11.0,0.0,54.09
Legal,India,Salesforce Einstein,2016.0,10.0,0.0,44.01
Technology,Australia,Tableau,1119.0,7.0,8.0,62.95
Retail,India,Jasper,330.0,9.0,0.0,43.98
Healthcare,India,Tableau,847.0,,3.0,51.82
Education,Brazil,Midjourney,770.0,5.0,5.0,58.54
Media,Canada,Salesforce Einstein,9264.0,13.0,3.0,64.44
Healthcare,Japan,Jasper,1225.0,13.0,1.0,49.98
Legal,US,ChatGPT,1314.0,9.0,4.0,54.89
Healthcare,UK,Notion AI,7327.0,9.0,3.0,56.69
Education,US,GitHub Copilot,760.0,13.0,4.0,56.3
Healthcare,Japan,TensorFlow,1026.0,15.0,0.0,59.47
Healthcare,US,Midjourney,1633.0,11.0,4.0,51.59
Legal,US,Salesforce Einstein,867.0,10.0,5.0,51.06
Retail,Canada,Salesforce Einstein,634.0,11.0,3.0,39.28
Education,UK,ChatGPT,569.0,12.0,3.0,59.48
Finance,India,GitHub Copilot,1901.0,11.0,0.0,59.46
Technology,US,TensorFlow,657.0,14.0,9.0,66.22
Technology,US,ChatGPT,759.0,9.0,4.0,58.61
Media,Germany,ChatGPT,5162.0,8.0,4.0,68.05
Manufacturing,US,Notion AI,1988.0,14.0,4.0,64.93
Education,Brazil,Midjourney,4960.0,10.0,0.0,59.34
Retail,Canada,Jasper,,16.0,4.0,62.38
Healthcare,US,Midjourney,30361.0,6.0,3.0,54.98
Legal,Brazil,ChatGPT,2904.0,8.0,5.0,57.94
Finance,Canada,Tableau,1390.0,15.0,3.0,59.99
Legal,Canada,Midjourney,7227.0,11.0,9.0,72.73
Retail,UK,Notion AI,379.0,18.0,2.0,53.19
Manufacturing,Canada,,716.0,14.0,1.0,53.01
Education,Canada,ChatGPT,2831.0,13.0,5.0,
Legal,US,TensorFlow,2446.0,11.0,0.0,53.13
Healthcare,UK,Tableau,378.0,13.0,3.0,49.27
Manufacturing,Canada,TensorFlow,642.0,14.0,1.0,48.1
Legal,US,ChatGPT,716.0,6.0,0.0,38.47
Education,Australia,Jasper,5586.0,13.0,5.0,52.66
Healthcare,Japan,Midjourney,7043.0,4.0,6.0,69.98
Manufacturing,Australia,Notion AI,1074.0,9.0,6.0,
Legal,Germany,Jasper,347.0,7.0,1.0,43.54
Legal,UK,ChatGPT,938.0,17.0,1.0,57.87
Technology,Canada,Tableau,698.0,16.0,2.0,61.74
Retail,Japan,Notion AI,670.0,13.0,1.0,42.5
Education,US,Tableau,226.0,8.0,1.0,40.07
Finance,India,GitHub Copilot,5361.0,11.0,2.0,60.93
Media,Australia,ChatGPT,369.0,13.0,4.0,63.03
Media,Brazil,ChatGPT,9699.0,13.0,3.0,66.55
Legal,Brazil,Midjourney,3033.0,10.0,4.0,57.84
Manufacturing,US,Notion AI,472.0,10.0,6.0,60.44
Healthcare,Japan,Jasper,568.0,14.0,4.0,60.89
Media,Canada,ChatGPT,4728.0,14.0,4.0,70.77
Education,Germany,Salesforce Einstein,8502.0,12.0,2.0,65.75
Healthcare,Australia,ChatGPT,2105.0,6.0,3.0,53.05
Legal,India,GitHub Copilot,4349.0,11.0,3.0,56.64
Finance,Canada,ChatGPT,386.0,18.0,5.0,66.82
Manufacturing,Australia,Salesforce Einstein,746.0,11.0,2.0,48.49
Retail,Germany,TensorFlow,136.0,14.0,3.0,49.37
Manufacturing,Germany,Midjourney,695.0,12.0,7.0,66.32
Legal,Australia,Notion AI,1158.0,21.0,6.0,57.87
Finance,Germany,Tableau,125.0,10.0,5.0,56.98
Manufacturing,Canada,Notion AI,1004.0,12.0,1.0,54.15
Finance,Canada,Salesforce Einstein,3503.0,15.0,4.0,68.18
Finance,Canada,Notion AI,5956.0,15.0,1.0,69.57
Finance,Germany,GitHub Copilot,159.0,11.0,4.0,48.63
Legal,Brazil,ChatGPT,571.0,16.0,4.0,61.19
Finance,Germany,TensorFlow,866.0,6.0,0.0,53.01
Legal,Brazil,,684.0,12.0,3.0,54.25
Legal,Canada,Tableau,482.0,8.0,3.0,49.86
Technology,India,GitHub Copilot,411.0,9.0,1.0,56.23
Healthcare,Australia,GitHub Copilot,4669.0,12.0,1.0,56.09
Media,US,Salesforce Einstein,908.0,9.0,4.0,66.6
Healthcare,UK,Midjourney,1332.0,16.0,3.0,61.04
Finance,Germany,ChatGPT,350.0,12.0,0.0,50.45
Retail,UK,Midjourney,660.0,7.0,2.0,51.15
,Japan,Midjourney,2513.0,10.0,4.0,65.42
Healthcare,Brazil,Midjourney,2019.0,8.0,5.0,57.67
Technology,UK,GitHub Copilot,1299.0,12.0,6.0,60.09
Manufacturing,Canada,ChatGPT,1016.0,14.0,3.0,57.68
Healthcare,Canada,Notion AI,3067.0,10.0,6.0,60.12
Healthcare,Japan,ChatGPT,35.0,8.0,3.0,48.78
Legal,UK,Jasper,279.0,14.0,3.0,50.53
Retail,US,Jasper,1354.0,10.0,3.0,50.29
Healthcare,Japan,TensorFlow,370.0,11.0,0.0,44.91
Finance,Australia,Jasper,629.0,13.0,1.0,53.77
Legal,India,Notion AI,5828.0,7.0,6.0,59.12
Legal,UK,Notion AI,897.0,3.0,0.0,39.86
Finance,Canada,TensorFlow,260.0,18.0,5.0,65.8
Media,Australia,Notion AI,578.0,12.0,1.0,46.42
Media,UK,GitHub Copilot,2953.0,12.0,4.0,64.4
Media,Japan,Salesforce Einstein,25891.0,11.0,7.0,67.96
Education,India,TensorFlow,3940.0,11.0,2.0,55.1
Retail,India,TensorFlow,427.0,14.0,5.0,58.59
Legal,Japan,TensorFlow,2182.0,7.0,5.0,56.32
Technology,Brazil,Midjourney,1249.0,13.0,4.0,61.52
Media,Australia,GitHub Copilot,708.0,11.0,3.0,57.67
Finance,US,Midjourney,2706.0,12.0,4.0,67.86
Manufacturing,Germany,ChatGPT,1108.0,13.0,9.0,59.07
Retail,Australia,Salesforce Einstein,332.0,11.0,4.0,52.04
Finance,Germany,,1200.0,13.0,2.0,54.04
Finance,Japan,ChatGPT,910.0,8.0,1.0,47.76
Retail,India,Tableau,428.0,10.0,0.0,46.19
Media,Brazil,Tableau,2179.0,12.0,0.0,47.24
Media,Japan,ChatGPT,74.0,9.0,1.0,
Technology,Germany,GitHub Copilot,2705.0,8.0,3.0,61.17
Education,Canada,TensorFlow,411.0,8.0,1.0,45.0
Media,US,Tableau,1205.0,12.0,2.0,50.11
Manufacturing,Australia,GitHub Copilot,575.0,14.0,6.0,59.37
Retail,Canada,GitHub Copilot,612.0,13.0,8.0,68.35
Technology,UK,ChatGPT,322.0,5.0,4.0,50.15
Manufacturing,Canada,Notion AI,3223.0,12.0,0.0,49.55
Legal,UK,GitHub Copilot,3113.0,7.0,1.0,39.95
Education,Japan,ChatGPT,677.0,13.0,6.0,60.0
Healthcare,India,Midjourney,935.0,15.0,4.0,65.81
Legal,Australia,GitHub Copilot,2713.0,9.0,0.0,42.45
Healthcare,US,TensorFlow,2074.0,8.0,8.0,56.02
Technology,Germany,Salesforce Einstein,453.0,9.0,7.0,58.17
Legal,Japan,TensorFlow,1054.0,8.0,3.0,47.07
Technology,Canada,Salesforce Einstein,427.0,7.0,4.0,50.26
Retail,Canada,Salesforce Einstein,6043.0,8.0,4.0,61.5
Legal,Germany,GitHub Copilot,1021.0,11.0,1.0,46.48
Finance,UK,Tableau,2931.0,10.0,6.0,59.08
Finance,UK,GitHub Copilot,717.0,10.0,1.0,59.87
Healthcare,Canada,Notion AI,94.0,21.0,4.0,53.94
Education,,TensorFlow,570.0,20.0,1.0,59.16
Education,India,Tableau,2178.0,10.0,6.0,58.36
Education,India,Tableau,402.0,14.0,3.0,48.24
Education,Canada,Tableau,1395.0,9.0,4.0,55.66
Legal,Germany,ChatGPT,357.0,12.0,2.0,45.15
Finance,US,Salesforce Einstein,,7.0,6.0,56.68
Manufacturing,Canada,TensorFlow,774.0,11.0,4.0,61.54
Healthcare,US,ChatGPT,3074.0,13.0,5.0,68.55
Education,UK,Midjourney,138.0,10.0,2.0,46.3
Healthcare,US,ChatGPT,585.0,18.0,0.0,53.71
Media,UK,ChatGPT,4845.0,14.0,1.0,70.92
Technology,Canada,TensorFlow,5400.0,14.0,4.0,64.42
Education,US,GitHub Copilot,3878.0,19.0,0.0,59.61
Legal,US,ChatGPT,4715.0,8.0,1.0,51.13
Finance,Brazil,Salesforce Einstein,1636.0,11.0,4.0,60.07
Technology,Brazil,Notion AI,1041.0,11.0,1.0,54.27
Media,US,Tableau,3939.0,15.0,3.0,74.42
Education,Brazil,ChatGPT,1489.0,10.0,5.0,57.81
Education,Japan,GitHub Copilot,1517.0,14.0,3.0,57.68
Finance,UK,Salesforce Einstein,27068.0,12.0,1.0,63.11
Retail,Australia,GitHub Copilot,2469.0,10.0,1.0,
Education,Canada,Midjourney,263.0,13.0,5.0,58.5
Education,Germany,ChatGPT,3089.0,9.0,4.0,54.14
Media,US,ChatGPT,466.0,13.0,0.0,51.84
Education,US,ChatGPT,213.0,9.0,3.0,45.49
Retail,India,GitHub Copilot,3905.0,13.0,6.0,62.6
